"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Successful transaction creation","1","Successfully create a manual transaction","FinMate Backend","2026-08-03","passed","2026-08-03","TestCreateTransaction","Unit Tests","",""
"Test password change with invalid input data","2","Validation errors on invalid password payloads","FinMate Backend","2026-08-03","passed","2026-08-03","TestChangePassword","Unit Tests","",""
"Test updating username to one that is already taken","4","Fail to update if username is already taken","FinMate Backend","2026-08-03","passed","2026-08-03","TestProfileUpdate","Unit Tests","",""
"","3","Fail generation if user is not found","FinMate Backend","2026-08-03","passed","2026-08-03","TestGeneratePDFReport","Unit Tests","",""
"Test password change with invalid input data","2","Validation errors on invalid password payloads","FinMate Backend","2026-08-03","passed","2026-08-03","TestChangePassword","Unit Tests","",""
"","13","Validation errors on invalid payload during creation","FinMate Backend","2026-08-03","passed","2026-08-03","TestCreateBudget","Unit Tests","",""
"","185","Fail login with incorrect password","FinMate Backend","2026-08-03","passed","2026-08-03","TestLogin","Integration Tests","",""
"","14","Successfully update transaction via API","FinMate Backend","2026-08-03","passed","2026-08-03","TestUpdateTransactions","Integration Tests","",""
"","2","Successfully delete an existing budget","FinMate Backend","2026-08-03","passed","2026-08-03","TestDeleteBudget","Unit Tests","",""
"","2","test_missing_key_builder","FinMate Backend","2026-08-03","passed","2026-08-03","TestRedisCacheDecorator","Unit Tests","",""
"","1","Validation errors on invalid payload during creation","FinMate Backend","2026-08-03","passed","2026-08-03","TestCreateCategory","Unit Tests","",""
"","3","API Validation errors on transaction creation","FinMate Backend","2026-08-03","passed","2026-08-03","TestCreateTransactions","Integration Tests","",""
"","5","Fail to update category if new name is duplicated","FinMate Backend","2026-08-03","passed","2026-08-03","TestUpdateCategory","Unit Tests","",""
"","3","API Validation errors on transaction creation","FinMate Backend","2026-08-03","passed","2026-08-03","TestCreateTransactions","Integration Tests","",""
"","1","Return 400 Bad Request if report is already EXPIRED","FinMate Backend","2026-08-03","passed","2026-08-03","TestGetReportStatus","Unit Tests","",""
"","1","Successfully fetch status of a PROCESSED report","FinMate Backend","2026-08-03","passed","2026-08-03","TestGetReportStatus","Unit Tests","",""
"Successful non-synchronized transaction update","2","Successfully update non-synchronized transaction fields","FinMate Backend","2026-08-03","passed","2026-08-03","TestUpdateTransaction","Unit Tests","",""
"Successful non-synchronized transaction update","2","Successfully update non-synchronized transaction fields","FinMate Backend","2026-08-03","passed","2026-08-03","TestUpdateTransaction","Unit Tests","",""
"Validation error for invalid input data","1","Validation errors on invalid transaction payloads","FinMate Backend","2026-08-03","passed","2026-08-03","TestCreateTransaction","Unit Tests","",""
"Validation error for invalid input data during transaction update","1","Validation errors on invalid transaction fields during update","FinMate Backend","2026-08-03","passed","2026-08-03","TestUpdateTransaction","Unit Tests","",""
"Attempting to update forbidden fields of a synchronized transaction","2","Fail to update forbidden fields for a synchronized transaction","FinMate Backend","2026-08-03","passed","2026-08-03","TestUpdateTransaction","Unit Tests","",""
"Attempting to update forbidden fields of a synchronized transaction","1","Fail to update forbidden fields for a synchronized transaction","FinMate Backend","2026-08-03","passed","2026-08-03","TestUpdateTransaction","Unit Tests","",""
"Test validation schema with no valid fields","1","Validation errors on invalid profile fields","FinMate Backend","2026-08-03","passed","2026-08-03","TestProfileUpdate","Unit Tests","",""
"","16","Successfully update an existing budget","FinMate Backend","2026-08-03","passed","2026-08-03","TestUpdateBudget","Unit Tests","",""
"","13","Validation errors on invalid payload during creation","FinMate Backend","2026-08-03","passed","2026-08-03","TestCreateBudget","Unit Tests","",""
"","8","API Validation errors on transaction update","FinMate Backend","2026-08-03","passed","2026-08-03","TestUpdateTransactions","Integration Tests","",""
"","2","Sync fails on Forbidden Error (invalid/expired X-Token)","FinMate Backend","2026-08-03","passed","2026-08-03","TestMonobankService","Unit Tests","",""
"Validation error for invalid input data during transaction update","1","Validation errors on invalid transaction fields during update","FinMate Backend","2026-08-03","passed","2026-08-03","TestUpdateTransaction","Unit Tests","",""
"Validation error for invalid input data during transaction update","1","Validation errors on invalid transaction fields during update","FinMate Backend","2026-08-03","passed","2026-08-03","TestUpdateTransaction","Unit Tests","",""
"","2","test_redis_setex_exception_handled","FinMate Backend","2026-08-03","passed","2026-08-03","TestRedisCacheDecorator","Unit Tests","",""
"Test successful user update","2","Successfully update valid user fields","FinMate Backend","2026-08-03","passed","2026-08-03","TestProfileUpdate","Unit Tests","",""
"Validation error for invalid input data","1","Validation errors on invalid transaction payloads","FinMate Backend","2026-08-03","passed","2026-08-03","TestCreateTransaction","Unit Tests","",""
"Test MonoToken update with invalid token","1","Validation errors on invalid Monobank API token","FinMate Backend","2026-08-03","passed","2026-08-03","TestUpdateMonoToken","Unit Tests","",""
"Attempting to update forbidden fields of a synchronized transaction","1","Fail to update forbidden fields for a synchronized transaction","FinMate Backend","2026-08-03","passed","2026-08-03","TestUpdateTransaction","Unit Tests","",""
"","12","Successfully update category via API","FinMate Backend","2026-08-03","passed","2026-08-03","TestUpdateCategory","Integration Tests","",""
"","13","Fail report generation when no transactions exist for period","FinMate Backend","2026-08-03","passed","2026-08-03","TestGenerateReport","Integration Tests","",""
"","4","Fail to retrieve non-existent transaction","FinMate Backend","2026-08-03","passed","2026-08-03","TestGetTransactions","Integration Tests","",""
"Verify that the method raises an error when the user is not found","1","Fail recalculation for non-existent user","FinMate Backend","2026-08-03","passed","2026-08-03","TestRecalculateInitialPoint","Unit Tests","",""
"","13","Validation errors on invalid payload during creation","FinMate Backend","2026-08-03","passed","2026-08-03","TestCreateBudget","Unit Tests","",""
"Validation error for invalid input data during transaction update","1","Validation errors on invalid transaction fields during update","FinMate Backend","2026-08-03","passed","2026-08-03","TestUpdateTransaction","Unit Tests","",""
"","3","Fail to update Monobank token with invalid data length","FinMate Backend","2026-08-03","passed","2026-08-03","TestChangeToken","Integration Tests","",""
"Attempting to update forbidden fields of a synchronized transaction","1","Fail to update forbidden fields for a synchronized transaction","FinMate Backend","2026-08-03","passed","2026-08-03","TestUpdateTransaction","Unit Tests","",""
"","108","Successfully login demo user and trigger reset","FinMate Backend","2026-08-03","passed","2026-08-03","TestLogin","Integration Tests","",""
"Attempting to update forbidden fields of a synchronized transaction","2","Fail to update forbidden fields for a synchronized transaction","FinMate Backend","2026-08-03","passed","2026-08-03","TestUpdateTransaction","Unit Tests","",""
"","12","Successfully delete transaction via API","FinMate Backend","2026-08-03","passed","2026-08-03","TestDeleteTransactions","Integration Tests","",""
"","2","Fail update if payload contains empty/None values","FinMate Backend","2026-08-03","passed","2026-08-03","TestUpdateTransaction","Unit Tests","",""
"","4","Fail login for non-existent user","FinMate Backend","2026-08-03","passed","2026-08-03","TestLogin","Integration Tests","",""
"","0","Calculate percentage change (current=100, previous=100)","FinMate Backend","2026-08-03","passed","2026-08-03","TestDashboardStaticMethods","Unit Tests","",""
"","189","Successfully login user and receive JWT token","FinMate Backend","2026-08-03","passed","2026-08-03","TestLogin","Integration Tests","",""
"","1","Calculate percentage change (current=100, previous=0)","FinMate Backend","2026-08-03","passed","2026-08-03","TestDashboardStaticMethods","Unit Tests","",""
"Test validation schema with no valid fields","1","Validation errors on invalid profile fields","FinMate Backend","2026-08-03","passed","2026-08-03","TestProfileUpdate","Unit Tests","",""
"","2","API Validation errors on password change","FinMate Backend","2026-08-03","passed","2026-08-03","TestChangePassword","Integration Tests","",""
"","2","Reset demo account handles exceptions gracefully","FinMate Backend","2026-08-03","passed","2026-08-03","TestDemoAccountReset","Unit Tests","",""
"","9","API Validation errors on category update","FinMate Backend","2026-08-03","passed","2026-08-03","TestUpdateCategory","Integration Tests","",""
"Validation error for invalid input data","1","Validation errors on invalid transaction payloads","FinMate Backend","2026-08-03","passed","2026-08-03","TestCreateTransaction","Unit Tests","",""
"","3","Fail update if payload contains empty/None values","FinMate Backend","2026-08-03","passed","2026-08-03","TestUpdateTransaction","Unit Tests","",""
"","3","API Validation errors on budget creation","FinMate Backend","2026-08-03","passed","2026-08-03","TestCreateBudgets","Integration Tests","",""
"Validation error for invalid input data","1","Validation errors on invalid transaction payloads","FinMate Backend","2026-08-03","passed","2026-08-03","TestCreateTransaction","Unit Tests","",""
"","266","Successfully change user password","FinMate Backend","2026-08-03","passed","2026-08-03","TestChangePassword","Integration Tests","",""
"","2","Demo user cannot change password","FinMate Backend","2026-08-03","passed","2026-08-03","TestDemoAccountPermissions","Integration Tests","",""
"","8","API Validation errors on category update","FinMate Backend","2026-08-03","passed","2026-08-03","TestUpdateCategory","Integration Tests","",""
"","10","API Validation errors on budget update","FinMate Backend","2026-08-03","passed","2026-08-03","TestUpdateBudgets","Integration Tests","",""
"Test password change with invalid input data","1","Validation errors on invalid password payloads","FinMate Backend","2026-08-03","passed","2026-08-03","TestChangePassword","Unit Tests","",""
"Test password change with invalid input data","1","Validation errors on invalid password payloads","FinMate Backend","2026-08-03","passed","2026-08-03","TestChangePassword","Unit Tests","",""
"Validation error for invalid input data","0","Validation errors on invalid transaction payloads","FinMate Backend","2026-08-03","passed","2026-08-03","TestCreateTransaction","Unit Tests","",""
"","185","Fail registration if user already exists (Conflict)","FinMate Backend","2026-08-03","passed","2026-08-03","TestRegister","Integration Tests","",""
"","2","Validation fails on invalid date payloads","FinMate Backend","2026-08-03","passed","2026-08-03","TestGeneratePDFReport","Unit Tests","",""
"","2","Logout with already expired token (skips Redis blacklist)","FinMate Backend","2026-08-03","passed","2026-08-03","TestLogoutUser","Unit Tests","",""
"","1","Validation fails on invalid date payloads","FinMate Backend","2026-08-03","passed","2026-08-03","TestGeneratePDFReport","Unit Tests","",""
"Attempting to update forbidden fields of a synchronized transaction","2","Fail to update forbidden fields for a synchronized transaction","FinMate Backend","2026-08-03","passed","2026-08-03","TestUpdateTransaction","Unit Tests","",""
"","2","API Validation errors on transaction creation","FinMate Backend","2026-08-03","passed","2026-08-03","TestCreateTransactions","Integration Tests","",""
"","8","API Validation errors on transaction update","FinMate Backend","2026-08-03","passed","2026-08-03","TestUpdateTransactions","Integration Tests","",""
"","16","Retrieve all budgets with valid statistics (is_recurring=False)","FinMate Backend","2026-08-03","passed","2026-08-03","TestGetBudgets","Unit Tests","",""
"Test validation schema with empty fields","2","Fail to update if payload contains empty/None fields","FinMate Backend","2026-08-03","passed","2026-08-03","TestProfileUpdate","Unit Tests","",""
"","0","Calculate percentage change (current=0, previous=0)","FinMate Backend","2026-08-03","passed","2026-08-03","TestDashboardStaticMethods","Unit Tests","",""
"Validation error for invalid input data","1","Validation errors on invalid transaction payloads","FinMate Backend","2026-08-03","passed","2026-08-03","TestCreateTransaction","Unit Tests","",""
"","3","API Validation errors on transaction creation","FinMate Backend","2026-08-03","passed","2026-08-03","TestCreateTransactions","Integration Tests","",""
"Attempting to update forbidden fields of a synchronized transaction","1","Fail to update forbidden fields for a synchronized transaction","FinMate Backend","2026-08-03","passed","2026-08-03","TestUpdateTransaction","Unit Tests","",""
"","1","Fail to update category without authorization","FinMate Backend","2026-08-03","passed","2026-08-03","TestUpdateCategory","Integration Tests","",""
"","2","API Validation errors on category creation","FinMate Backend","2026-08-03","passed","2026-08-03","TestCreateCategory","Integration Tests","",""
"","5","Successfully start new generation if previous report is EXPIRED","FinMate Backend","2026-08-03","passed","2026-08-03","TestGeneratePDFReport","Unit Tests","",""
"","2","test_redis_exception_handled_gracefully","FinMate Backend","2026-08-03","passed","2026-08-03","TestInvalidateCache","Unit Tests","",""
"","2","Handle Redis errors gracefully on status check","FinMate Backend","2026-08-03","passed","2026-08-03","TestGetReportStatus","Unit Tests","",""
"","3","API Validation errors on missing required fields","FinMate Backend","2026-08-03","passed","2026-08-03","TestGenerateReport","Integration Tests","",""
"","1","Return 202 Accepted if PENDING report is still processing (No Redis result)","FinMate Backend","2026-08-03","passed","2026-08-03","TestGetReportStatus","Unit Tests","",""
"","6","Successfully create transaction via API","FinMate Backend","2026-08-03","passed","2026-08-03","TestCreateTransactions","Integration Tests","",""
"","48","Fail to create budget exceeding maximum limit","FinMate Backend","2026-08-03","passed","2026-08-03","TestCreateBudgets","Integration Tests","",""
"","8","API Validation errors on transaction update","FinMate Backend","2026-08-03","passed","2026-08-03","TestUpdateTransactions","Integration Tests","",""
"","37","Verify caching flow for dashboard invalidation","FinMate Backend","2026-08-03","passed","2026-08-03","TestIntegrationCaching","Integration Tests","",""
"","1","test_keys_deleted_successfully","FinMate Backend","2026-08-03","passed","2026-08-03","TestInvalidateCache","Unit Tests","",""
"Transaction not found or access denied","1","Fail to update non-existent transaction","FinMate Backend","2026-08-03","passed","2026-08-03","TestUpdateTransaction","Unit Tests","",""
"","1","Fail to retrieve budgets without authorization","FinMate Backend","2026-08-03","passed","2026-08-03","TestGetBudgets","Integration Tests","",""
"","3","Successfully refresh tokens (remember_me=False)","FinMate Backend","2026-08-03","passed","2026-08-03","TestRefreshAccessToken","Unit Tests","",""
"","15","Retrieve stats for a budget with zero spent amount","FinMate Backend","2026-08-03","passed","2026-08-03","TestGetBudgets","Unit Tests","",""
"","1","Fail to change currency without authorization","FinMate Backend","2026-08-03","passed","2026-08-03","TestChangeCurrency","Integration Tests","",""
"Validation error for invalid input data","1","Validation errors on invalid transaction payloads","FinMate Backend","2026-08-03","passed","2026-08-03","TestCreateTransaction","Unit Tests","",""
"Validation error for invalid input data","2","Validation errors on invalid transaction payloads","FinMate Backend","2026-08-03","passed","2026-08-03","TestCreateTransaction","Unit Tests","",""
"","6","Successfully update user profile data","FinMate Backend","2026-08-03","passed","2026-08-03","TestUpdateUser","Integration Tests","",""
"Successful update of allowed fields for a synchronized transaction","2","Update allowed fields (category/note) for a synchronized transaction","FinMate Backend","2026-08-03","passed","2026-08-03","TestUpdateTransaction","Unit Tests","",""
"","15","Successfully update transaction via API","FinMate Backend","2026-08-03","passed","2026-08-03","TestUpdateTransactions","Integration Tests","",""
"Validation error for invalid input data","1","Validation errors on invalid transaction payloads","FinMate Backend","2026-08-03","passed","2026-08-03","TestCreateTransaction","Unit Tests","",""
"","7","Correctly fetch report history containing mixed statuses","FinMate Backend","2026-08-03","passed","2026-08-03","TestGetReportHistory","Integration Tests","",""
"","1","Check offset calculation for transaction history pagination","FinMate Backend","2026-08-03","passed","2026-08-03","TestDashboardService","Unit Tests","",""
"Test successful user update","2","Successfully update valid user fields","FinMate Backend","2026-08-03","passed","2026-08-03","TestProfileUpdate","Unit Tests","",""
"Test validation schema with empty fields","1","Fail to update if payload contains empty/None fields","FinMate Backend","2026-08-03","passed","2026-08-03","TestProfileUpdate","Unit Tests","",""
"","6","Mark PENDING report as FAILED if timeout exceeded","FinMate Backend","2026-08-03","passed","2026-08-03","TestGetReportStatus","Integration Tests","",""
"","1","Validation fails on invalid date payloads","FinMate Backend","2026-08-03","passed","2026-08-03","TestGeneratePDFReport","Unit Tests","",""
"","13","Validation errors on invalid payload during creation","FinMate Backend","2026-08-03","passed","2026-08-03","TestCreateBudget","Unit Tests","",""
"","1","Check math for stats calculations (balances and percentages)","FinMate Backend","2026-08-03","passed","2026-08-03","TestDashboardService","Unit Tests","",""
"Validation error for invalid input data","1","Validation errors on invalid transaction payloads","FinMate Backend","2026-08-03","passed","2026-08-03","TestCreateTransaction","Unit Tests","",""
"Validation error for invalid input data","1","Validation errors on invalid transaction payloads","FinMate Backend","2026-08-03","passed","2026-08-03","TestCreateTransaction","Unit Tests","",""
"","120","Successfully register a new user via API","FinMate Backend","2026-08-03","passed","2026-08-03","TestRegister","Integration Tests","",""
"","1","Validation errors on invalid payload during creation","FinMate Backend","2026-08-03","passed","2026-08-03","TestCreateCategory","Unit Tests","",""
"","0","Calculate previous period start date (period=month)","FinMate Backend","2026-08-03","passed","2026-08-03","TestDashboardStaticMethods","Unit Tests","",""
"","3","API Validation errors on transaction creation","FinMate Backend","2026-08-03","passed","2026-08-03","TestCreateTransactions","Integration Tests","",""
"Validation error for invalid input data during transaction update","1","Validation errors on invalid transaction fields during update","FinMate Backend","2026-08-03","passed","2026-08-03","TestUpdateTransaction","Unit Tests","",""
"","1","Fail to delete budget without authorization","FinMate Backend","2026-08-03","passed","2026-08-03","TestDeleteBudgets","Integration Tests","",""
"","14","Successfully update transaction via API","FinMate Backend","2026-08-03","passed","2026-08-03","TestUpdateTransactions","Integration Tests","",""
"","4","Successful login (remember_me=False)","FinMate Backend","2026-08-03","passed","2026-08-03","TestLoginUser","Unit Tests","",""
"","29","Successfully delete user account","FinMate Backend","2026-08-03","passed","2026-08-03","TestDeleteAccount","Integration Tests","",""
"","2","Synchronization fails on Monobank rate limit (429)","FinMate Backend","2026-08-03","passed","2026-08-03","TestMonobankService","Unit Tests","",""
"Test successful MonoToken deletion","2","Successfully delete Monobank API token","FinMate Backend","2026-08-03","passed","2026-08-03","TestDeleteMonoToken","Unit Tests","",""
"Cannot delete a synchronized bank transaction","5","Fail to delete a synchronized bank transaction","FinMate Backend","2026-08-03","passed","2026-08-03","TestDeleteTransaction","Unit Tests","",""
"","1","Sync fails if user is not found in database","FinMate Backend","2026-08-03","passed","2026-08-03","TestMonobankService","Unit Tests","",""
"Attempting to update forbidden fields of a synchronized transaction","5","Fail to update forbidden fields for a synchronized transaction","FinMate Backend","2026-08-03","passed","2026-08-03","TestUpdateTransaction","Unit Tests","",""
"","3","Fail to delete non-existent transaction","FinMate Backend","2026-08-03","passed","2026-08-03","TestDeleteTransactions","Integration Tests","",""
"Successful non-synchronized transaction update","1","Successfully update non-synchronized transaction fields","FinMate Backend","2026-08-03","passed","2026-08-03","TestUpdateTransaction","Unit Tests","",""
"","4","Fail to retrieve status for non-existent report","FinMate Backend","2026-08-03","passed","2026-08-03","TestGetReportStatus","Integration Tests","",""
"","2","API Validation errors on category creation","FinMate Backend","2026-08-03","passed","2026-08-03","TestCreateCategory","Integration Tests","",""
"","0","Calculate percentage change (current=150, previous=100)","FinMate Backend","2026-08-03","passed","2026-08-03","TestDashboardStaticMethods","Unit Tests","",""
"Successful non-synchronized transaction update","2","Successfully update non-synchronized transaction fields","FinMate Backend","2026-08-03","passed","2026-08-03","TestUpdateTransaction","Unit Tests","",""
"","8","API Validation errors on transaction update","FinMate Backend","2026-08-03","passed","2026-08-03","TestUpdateTransactions","Integration Tests","",""
"","2","Sync fails when Monobank returns no accounts","FinMate Backend","2026-08-03","passed","2026-08-03","TestMonobankService","Unit Tests","",""
"Test updating a non-existent user","1","Fail to update non-existent user","FinMate Backend","2026-08-03","passed","2026-08-03","TestProfileUpdate","Unit Tests","",""
"","2","API Validation error on invalid report ID format","FinMate Backend","2026-08-03","passed","2026-08-03","TestGetReportStatus","Integration Tests","",""
"Test successful user update","2","Successfully update valid user fields","FinMate Backend","2026-08-03","passed","2026-08-03","TestProfileUpdate","Unit Tests","",""
"No valid changes detected in the update payload","1","Fail update if payload is empty","FinMate Backend","2026-08-03","passed","2026-08-03","TestUpdateTransaction","Unit Tests","",""
"Test validation schema with empty fields","1","Fail to update if payload contains empty/None fields","FinMate Backend","2026-08-03","passed","2026-08-03","TestProfileUpdate","Unit Tests","",""
"","15","Retrieve stats for a budget with zero total amount","FinMate Backend","2026-08-03","passed","2026-08-03","TestGetBudgets","Unit Tests","",""
"","3","Fail generation if no transactions found for period","FinMate Backend","2026-08-03","passed","2026-08-03","TestGeneratePDFReport","Unit Tests","",""
"Test validation schema with empty fields","1","Fail to update if payload contains empty/None fields","FinMate Backend","2026-08-03","passed","2026-08-03","TestProfileUpdate","Unit Tests","",""
"","2","API Validation errors on budget creation","FinMate Backend","2026-08-03","passed","2026-08-03","TestCreateBudgets","Integration Tests","",""
"Test password change with invalid input data","1","Validation errors on invalid password payloads","FinMate Backend","2026-08-03","passed","2026-08-03","TestChangePassword","Unit Tests","",""
"","1","Fail status check if report is not found","FinMate Backend","2026-08-03","passed","2026-08-03","TestGetReportStatus","Unit Tests","",""
"","4","Fail to delete non-existent account (Invalid Token ID)","FinMate Backend","2026-08-03","passed","2026-08-03","TestDeleteAccount","Integration Tests","",""
"Successful update of allowed fields for a synchronized transaction","2","Update allowed fields (category/note) for a synchronized transaction","FinMate Backend","2026-08-03","passed","2026-08-03","TestUpdateTransaction","Unit Tests","",""
"","4","Handle Redis errors gracefully during report generation","FinMate Backend","2026-08-03","passed","2026-08-03","TestGeneratePDFReport","Unit Tests","",""
"","1","Fail to fetch report history without authorization","FinMate Backend","2026-08-03","passed","2026-08-03","TestGetReportHistory","Integration Tests","",""
"","5","Fail to delete category with related budgets","FinMate Backend","2026-08-03","passed","2026-08-03","TestDeleteCategory","Unit Tests","",""
"Validation error for invalid input data","1","Validation errors on invalid transaction payloads","FinMate Backend","2026-08-03","passed","2026-08-03","TestCreateTransaction","Unit Tests","",""
"","2","Update DB and return 200 OK if PENDING report result is ready in Redis","FinMate Backend","2026-08-03","passed","2026-08-03","TestGetReportStatus","Unit Tests","",""
"","13","Successfully update transaction via API","FinMate Backend","2026-08-03","passed","2026-08-03","TestUpdateTransactions","Integration Tests","",""
"","16","Retrieve stats when multiple budgets exist","FinMate Backend","2026-08-03","passed","2026-08-03","TestGetBudgets","Unit Tests","",""
"","3","API Validation errors on transaction creation","FinMate Backend","2026-08-03","passed","2026-08-03","TestCreateTransactions","Integration Tests","",""
"Validation error for invalid input data during transaction update","1","Validation errors on invalid transaction fields during update","FinMate Backend","2026-08-03","passed","2026-08-03","TestUpdateTransaction","Unit Tests","",""
"","2","Return empty list when user has no categories","FinMate Backend","2026-08-03","passed","2026-08-03","TestGetCategories","Unit Tests","",""
"","1","Fail to update budget if category is not found","FinMate Backend","2026-08-03","passed","2026-08-03","TestUpdateBudget","Unit Tests","",""
"","1","Fail to create budget without authorization","FinMate Backend","2026-08-03","passed","2026-08-03","TestCreateBudgets","Integration Tests","",""
"","28","Successfully retrieve default dashboard data","FinMate Backend","2026-08-03","passed","2026-08-03","TestGetDashboard","Integration Tests","",""
"","8","API Validation errors on transaction update","FinMate Backend","2026-08-03","passed","2026-08-03","TestUpdateTransactions","Integration Tests","",""
"Test successful user update","3","Successfully update valid user fields","FinMate Backend","2026-08-03","passed","2026-08-03","TestProfileUpdate","Unit Tests","",""
"Test MonoToken deletion for a non-existent user","1","Fail to delete Monobank token for non-existent user","FinMate Backend","2026-08-03","passed","2026-08-03","TestDeleteMonoToken","Unit Tests","",""
"","1","Fail to update transaction without authorization","FinMate Backend","2026-08-03","passed","2026-08-03","TestUpdateTransactions","Integration Tests","",""
"","10","API Validation errors on category update","FinMate Backend","2026-08-03","passed","2026-08-03","TestUpdateCategory","Integration Tests","",""
